,year,party,window_id,terms,dynamic_id,topic_label,sub_topic,major_topic
724,1990,Rep,4,"['nation', 'world', 'economic', 'democracy', 'freedom', 'change', 'economy', 'international', 'help', 'united', 'today', 'future', 'peace', 'eastern_europe', 'effort', 'national', 'history', 'greek', 'crisis', 'free']",64,?_?,foreign aid,international affairs
741,1990,Rep,21,"['housing', 'home', 'fha', 'mortgage', 'assistance', 'homeless', 'public_housing', 'community', 'hud', 'provide', 'home_ownership', 'loan', 'affordable_housing', 'indian', 'secretary_kemp', 'initiative', 'development', 'banking_committee', 'tenant', 'unit']",43,housing_?,general,housing
744,1990,Rep,24,"['river', 'study', 'wild_scenic', 'designation', 'national_park', 'niobrara_river', 'segment', 'niobrara', 'mile', 'scenic_river', 'gentlewoman_nebraska', 'smith', 'district', 'protect', 'park', 'mrs', 'local', 'national', 'dam', 'manage']",120,?_?,general,public lands
759,1990,Rep,39,"['disabled', 'ada', 'remedy', 'american_disability', 'disability', 'provide', 'title', 'public_accommodation', 'employment', 'community', 'accommodation', 'access', 'transportation', 'public', 'bus', 'individual', 'sensenbrenner_amendment', 'require', 'protection', 'undue_hardship']",70,?_?,dissabilities,labor
767,1990,Rep,47,"['problem', 'many', 'correct', 'solve', 'face', 'solution', 'cause', 'crisis', 'major', 'real', 'serious', 'much', 'today', 'saving_loan', 'solve_problem', 'care', 'create', 'most', 'fine', 'great']",31,?_?,,
774,1990,Rep,54,"['service', 'volunteer', 'provide', 'national', 'community', 'voluntarism', 'organization', 'loan', 'health', 'individual', 'fulltime', 'peace_corps', 'health_care', 'serve', 'national_park', 'grant', 'youth', 'physician', 'pay', 'assistance']",30,?_?,,
781,1990,Rep,61,"['give', 'opportunity', 'more', 'chance', 'authority', 'hope', 'side_aisle', 'number', 'least', 'little', 'lot', 'notice', 'keep', 'power', 'procedure', 'interest', 'much', 'open_rule', 'full', 'little_bit']",77,?_?,,
785,1990,Rep,65,"['cost', 'pay', 'estimate', 'high', 'taxpayer', 'more', 'mail', 'much', 'add', 'figure', 'rate', 'federal_government', 'save', 'b2', 'burden', 'health_care', 'additional', 'study', 'average', 'reduce']",40,?_costs,,
787,1990,Rep,67,"['system', 'provide', 'transportation', 'highway', 'national', 'metro', 'coastal_barrier', 'mass_transit', 'public', 'establish', 'improve', 'ensure', 'national_park', 'plan', 'trail', 'resource', 'site', 'great_lake', 'metropolitan_area', 'include']",42,?_?,infrastructure,transportation
800,1991,Rep,0,"['provide', 'assistance', 'housing', 'help', 'new', 'effort', 'energy', 'resource', 'home', 'include', 'opportunity', 'development', 'liheap', 'rise_support', 'available', 'necessary', 'area', 'fiscal_year', 'information', 'relief']",70,?_?,,
